! recostruction matrix elements for HMS, tune HMS-100
! <theta y phi delta | nmpq>;(x**n xp**m y**p yp**q)
! as of 02/20/97, no z offset included: this statement is obsolete
! created: 06/28/98
! zeroth order matrix elements from fitting:
! <theta|> -4.7276368293E-03 rad
! <y|> -1.1606458055E-04 m
! <phi|>  4.8280702357E-05 rad 
! <p|> -3.8725980576E-03 %
! <theta y phi delta | nmpq>;(x**n xp**m y**p yp**q)
!   For xptar include xtar correction from SIMC COSY file
!   fitted new xptar using the xtar correction with xtar mztrix fixed
!   fitted new ytar and yptar for extended target
!   May 15th , 2009 , 3rd iteration of xptar fit
 ---------------------------------------------------------------------
   -0.00343320596 -8.55129322e-05  0.000273135681               0 00000
      0.349719935    0.0192255848  -0.00835038474     0.256021141 10000
      -3.09152913    -0.148666828    0.0405499285     0.130192976 01000
    -0.0144081902    -0.415421345      0.27217585   0.00278565265 00100
      0.215169765    -0.401226468     -2.36103286    0.0407874298 00010
       1.12584242               0               0       0.7681777 00001
     -0.377331724   -0.0402866049   0.00864881746    -0.318166729 20000
       2.79839558    0.0544071972    0.0101213668      3.07552684 11000
       5.18872397     0.970375218    -0.260813957       2.1477619 02000
    -0.0469021249       1.4856838     -0.35360288   -0.0297352223 10100
      0.830289572     0.784169523    -0.282385014     -0.26612453 01100
     0.0447854354     0.105218908    -0.123449669   -0.0438953228 00200
    -0.0330805335     -22.4095929      5.20341562    -0.249121889 10010
       -2.9330201      -3.8643457      1.80032137      4.27708696 01010
     0.0131707597      1.29900681    -0.403417711     0.475605891 00110
      -1.60990865     -4.11460748     0.766371802     -3.53478948 00020
      -3.30929606               0               0     -1.24824954 10001
        9.5582156               0               0      7.18980365 01001
     0.0744204334               0               0               0 00101
     -0.932044457               0               0               0 00011
      -12.8075508               0               0     -1.79480024 00002
       1.30334569     0.180917801    0.0551876074     0.936834319 30000
      -18.7769286    -0.435238702     -1.13332499     -13.5405899 21000
       71.5265974     -13.3602921      7.99085666      51.8797642 12000
      -79.8483878      54.2701022     -13.7935645      -20.498985 03000
       1.68873548     -4.89626156     0.692715742   -0.0312542194 20100
      -14.7289349      57.8107227     -8.65414899     0.284008412 11100
       28.4744121     -156.208231      17.6806673      3.95564331 02100
      0.194065641    -0.479942589     0.999114645     0.954315611 10200
      -5.29076087     -11.7476205      2.18163025     -7.06883817 01200
      0.952317119     0.808196758       -1.354748    -0.358205667 00300
      -14.8862284      66.1672181     -9.91661029     -2.74488175 20010
       149.048708     -770.927956      120.012707      10.6819836 11010
      -382.868078      2163.71166     -267.806916      -46.776265 02010
      -14.5153953     -5.38055608     -10.4467717     0.434687181 10110
         170.1456      199.356852     -31.2570599      25.6924121 01110
       -14.346341      48.1988078      9.56962764      -3.1559352 00210
       115.481167      26.1909304      4.44476121      31.9077575 10020
      -1151.56617      141.740309     -135.806105     -467.898102 01020
       131.031962       -682.2358     -71.7472413       34.179037 00120
      -495.450386      3405.05794      224.367217     -71.5085362 00030
        31.328287               0               0      4.30979026 20001
      -366.358594               0               0     -47.5141035 11001
       1281.27264               0               0      127.404997 02001
       2.84521581               0               0               0 10101
       -25.439373               0               0               0 01101
       8.46492946               0               0      1.52132362 00201
       13.7051555               0               0               0 10011
      -72.5425087               0               0               0 01011
      -212.181332               0               0     -44.8420242 00111
       1292.40575               0               0      332.945301 00021
       86.2168045               0               0      13.9035869 10002
      -202.375577               0               0     -75.1770025 01002
       11.1885519               0               0               0 00102
       152.465743      412.398418      -118.55168               0 00012
       56.8142343               0               0      15.5951865 00003
      -5.62451546     0.336820453    -0.372605227     -2.30278775 40000
       112.872402     -15.2430167      8.99885288      58.0248309 31000
      -814.935196      170.557553      -86.251149     -491.562374 22000
       2552.85514     -666.375297      382.706517      1718.29721 13000
       -3056.7937      492.763985     -642.951154     -1950.10403 04000
      -10.8852603      7.94946704    -0.979891942     -1.46212838 30100
       165.886675     -115.893456      14.0581776      47.2957535 21100
      -852.331764      173.339788      10.1674723     -432.372956 12100
       1443.76707      858.715362     -238.619322      1323.39948 03100
      -1.46691613     -1.83625175     -3.03307054     -1.00472512 20200
       22.8078283      67.9001929     -4.40960935      16.7434624 11200
      -23.7690023     -34.4743704     -16.0922655     -67.2731587 02200
      -3.30391181     -7.42662543      9.70642232      4.98155457 10300
      -52.5207962     -154.333136      63.6593857     -37.4367181 01300
      -1.34679188      16.1373785     -3.09435896      3.83526317 00400
       73.2841669     -101.090635      13.3568825      20.4063547 30010
      -822.117341      1686.20556     -244.927594     -521.870646 21010
       2097.86262     -4851.39395      701.275872      4021.85608 12010
       977.869067     -2268.84774      392.799533     -11081.6594 03010
       15.9067829      112.004067      55.1518059     -26.1090659 20110
      -205.986912     -2128.61968      183.427443      343.660595 11110
      -917.913245      2541.28728      484.329366     -974.052221 02110
