! recostruction matrix elements for HMS, tune HMS-100
! <theta y phi delta | nmpq>;(x**n xp**m y**p yp**q)
! as of 02/20/97, no z offset included: this statement is obsolete
! created: 06/28/98
! zeroth order matrix elements from fitting:
! <theta|> -4.7276368293E-03 rad
! <y|> -1.1606458055E-04 m
! <phi|>  4.8280702357E-05 rad 
! <p|> -3.8725980576E-03 %
! <theta y phi delta | nmpq>;(x**n xp**m y**p yp**q)
!   For xptar include xtar correction from SIMC COSY file
!   fitted new xptar using the xtar correction with xtar mztrix fixed
!   fitted new ytar and yptar for extended target
!   May 15th , 2009 , 3rd iteration of xptar fit
 ---------------------------------------------------------------------
  0.342593182     0.201136259E-01-0.856199961E-02 0.256021141     10000
  -3.01285380    -0.151460016     0.519770560E-01 0.130192976     01000
 -0.202542855E-01-0.428150069     0.261741648     0.278565265E-02 00100
  0.192609668    -0.480093713     -2.13935353     0.407874298E-01 00010
 -0.430711905    -0.628763990E-01 0.129602439E-01-0.318166729     20000
   3.52146823     0.528071950    -0.125827440      3.07552684     11000
  0.192353720      1.45567610    -0.336900283    -0.297352223E-01 10100
  -2.02637903     -21.6490306      5.02116964    -0.249121889     10010
   2.65570991     -1.19562495     0.349453934      2.14776190     02000
 -0.484332568      1.10114780    -0.336639637    -0.266124530     01100
   5.50419922     -9.18576328      4.72723788      4.27708696     01010
 -0.315170914E-01 0.111372709    -0.143247258    -0.438953228E-01 00200
 -0.328698973E-02-0.683580609      1.12690437     0.475605891     00110
  -5.81277828      7.57387060     -2.44154624     -3.53478948     00020
   1.97921587     0.696372747E-02 0.830381435E-01 0.936834319     30000
  -34.1971916     0.283155579     -1.72846996     -13.5405899     21000
   1.91591599     -3.43922552     0.633450158    -0.312542194E-01 20100
  -6.45978259      57.4389147     -14.7594150     -2.74488175     20010
   198.899634     -9.60720206      14.7989722      51.8797642     12000
  -20.9644838      40.0807349     -9.16458061     0.284008412     11100
   86.9754599     -643.137510      208.436637      10.6819836     11010
   3.03718371     0.363643021     0.536097234     0.954315611     10200
  -37.3027219     -21.6620999     -1.37596831     0.434687181     10110
   215.279830      51.6309777     -6.48721357      31.9077575     10020
  -451.834570      43.7758207     -47.5903041     -20.4989850     03000
   59.6833735     -87.2549393      19.6345843      3.95564331     02100
  -275.927382      1627.51305     -656.026065     -46.7762650     02010
  -18.2226327     -14.4883596      1.35587981     -7.06883817     01200
   185.082990      241.932803     -52.6862298      25.6924121     01110
  -1612.20267      137.953074     -29.0119954     -467.898102     01020
   1.38916417      3.70731812    -0.287326190    -0.358205667     00300
  -20.6512791      65.8619570     -48.0601051     -3.15593520     00210
   58.6179966     -1092.74413      800.237224      34.1790370     00120
   112.814491      6864.09091     -4718.42352     -71.5085362     00030
  -5.05570875      2.04904751     -1.26643486     -2.30278775     40000
   82.8998892     -56.4021207      35.0298817      58.0248309     31000
  -29.1614369      3.82576250     0.742267905     -1.46212838     30100
   227.414018     -78.5810533      13.4959395      20.4063547     30010
  -355.558051      579.435916     -366.647446     -491.562374     22000
   501.996691     -57.7585799     -11.7376200      47.2957535     21100
  -3406.08775      1130.49209     -256.389952     -521.870646     21010
  -15.7572194     -7.93221066    -0.478288241     -1.00472512     20200
   147.364620      218.879502     -7.42291140     -26.1090659     20110
  -190.170500     -1330.61389      232.604520      406.369321     20020
  -62.0254800     -2673.23597      1762.28536      1718.29721     13000
  -2905.92888     -29.9834006      94.5488958     -432.372956     12100
   17378.9988     -852.277043      967.349936      4021.85608     12010
   119.710300      131.919657     -18.0911985      16.7434624     11200
